dataset_id,business_owner,technical_steward,classification,ropa_purpose,retention_class
fct_orders,marketplace-product,data-platform,CONFIDENTIAL,ropa-analytics-marketplace,operational
dim_products,marketplace-product,data-platform,INTERNAL,ropa-analytics-marketplace,operational
dim_sellers,marketplace-product,data-platform,CONFIDENTIAL,ropa-analytics-marketplace,operational
dim_date,data-platform,data-platform,PUBLIC,n/a,none-synthetic
fct_vat_oss,finance,data-platform,CONFIDENTIAL,ropa-tax-compliance,statutory
fct_commission,finance,data-platform,CONFIDENTIAL,ropa-tax-compliance,statutory
fct_payouts,finance,data-platform,CONFIDENTIAL,ropa-tax-compliance,statutory
seller_health,marketplace-product,data-platform,CONFIDENTIAL,ropa-analytics-marketplace,operational
listing_funnel,marketplace-product,data-platform,INTERNAL,ropa-analytics-marketplace,operational
search_analytics,marketplace-product,data-platform,INTERNAL,ropa-analytics-marketplace,short-term
dsr_sla_metrics,dpo,data-platform,RESTRICTED,ropa-gdpr-operations,operational
consent_rates,dpo,data-platform,RESTRICTED,ropa-gdpr-operations,operational
erasure_execution_log,dpo,data-platform,RESTRICTED,ropa-gdpr-operations,statutory
seed_taxonomy_categories,marketplace-product,data-platform,PUBLIC,n/a,none-synthetic
seed_geo_references,marketplace-product,data-platform,PUBLIC,n/a,none-synthetic
seed_tax_vat_rates,finance,data-platform,INTERNAL,n/a,none-synthetic
seed_fixtures,marketplace-product,data-platform,PUBLIC,n/a,none-synthetic
ml_embeddings_products,data-platform,data-platform,INTERNAL,ropa-search-relevance,operational
ml_translation_memory,marketplace-product,data-platform,PUBLIC,n/a,none-synthetic
